participant_id,eval_case_id,repeat_index,policy_sampling_seed,realised_route,success,success_within_route,termination_reason,primary_failure,failure_labels,target_xy_error,final_cylinder_tilt_degrees,minimum_box_cylinder_xy_distance,checkpoint_sha256,config_sha256,paired_manifest_sha256,video_path
B02,0,0,20280807,indeterminate,0,0,policy_timeout,target_miss,policy_timeout;target_miss,0.523355,0.000299,0.301409,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_00_repeat_0_execution_0.mp4
B02,0,1,20280808,indeterminate,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout,0.073749,89.999997,0.20884,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_00_repeat_1_execution_0.mp4
B02,1,0,20280817,R,1,1,success,success,,0.006668,3.4e-05,0.156441,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_01_repeat_0_execution_0.mp4
B02,1,1,20280818,R,1,1,success,success,,0.008493,1.5e-05,0.152095,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_01_repeat_1_execution_0.mp4
B02,2,0,20280827,L,0,0,policy_timeout,target_miss,policy_timeout;target_miss,0.423521,0.000204,0.279975,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_02_repeat_0_execution_0.mp4
B02,2,1,20280828,L,0,0,policy_timeout,target_miss,policy_timeout;target_miss,0.353099,0.000276,0.217912,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_02_repeat_1_execution_0.mp4
B02,3,0,20280837,R,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,0.13014,89.999997,0.131466,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_03_repeat_0_execution_0.mp4
B02,3,1,20280838,R,1,1,success,success,,0.072342,0.000327,0.153564,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_03_repeat_1_execution_0.mp4
B02,4,0,20280847,R,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,0.282779,90.0,0.112109,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_04_repeat_0_execution_0.mp4
B02,4,1,20280848,R,1,1,success,success,,0.014893,1.4e-05,0.179033,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_04_repeat_1_execution_0.mp4
B02,5,0,20280857,indeterminate,0,0,policy_timeout,target_miss,policy_timeout;target_miss,6.650104,0.000334,0.369469,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_05_repeat_0_execution_0.mp4
B02,5,1,20280858,R,0,0,policy_timeout,target_miss,policy_timeout;target_miss,2.499605,0.000327,0.369469,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_05_repeat_1_execution_0.mp4
B02,6,0,20280867,R,1,1,success,success,,0.002441,0.000373,0.177975,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_06_repeat_0_execution_0.mp4
B02,6,1,20280868,R,1,1,success,success,,0.003027,0.000304,0.1672,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_06_repeat_1_execution_0.mp4
B02,7,0,20280877,R,1,1,success,success,,0.015404,0.000352,0.172768,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_07_repeat_0_execution_0.mp4
B02,7,1,20280878,R,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout,0.055332,89.999989,0.136289,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_07_repeat_1_execution_0.mp4
B02,8,0,20280887,R,1,1,success,success,,0.020602,7e-06,0.133516,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_08_repeat_0_execution_0.mp4
B02,8,1,20280888,R,1,1,success,success,,0.01514,0.000229,0.13194,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_08_repeat_1_execution_0.mp4
B02,9,0,20280897,R,1,1,success,success,,0.011866,6.1e-05,0.168991,818d57a53613fc0050c4f33ef03bec7c34539a45e1b883e36106dd865b523c43,1c189a1f737fa403fec33f7fd18055b0fe1d1d3dafe225d10988ed8c187cd9ba,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B02/videos/case_09_repeat_0_execution_0.mp4
